ダドリー_|_N-nc 46
やっと_|_F 45
こんな_|_R 45
見つけ_|_V-c 45
つい_|_V-dp 45
階段_|_N-nc 45
いけ_|_V-dp 45
クィレル_|_N-pn 45
マル_|_J-c 45
フォイ_|_N-nc 45
ふくろう_|_N-nc 44
ばかり_|_P-fj 44
さえ_|_P-fj 44
あり_|_V-dp 44
できる_|_V-dp 44
ため_|_N-nc 44
第_|_P 43
み_|_V-dp 43
ご_|_P 43
なり_|_V-dp 43
マグル_|_N-nc 43
でしょう_|_X 43
一番_|_F 43
本当_|_N-nc 43
着_|_V-c 42
はじめ_|_V-dp 42
食べ_|_V-c 42
いく_|_V-dp 42
他_|_N-nc 42
叫ん_|_V-c 42
鍵_|_N-nc 41
ポッター_|_N-nc 41
違い_|_N-nc 41
分_|_N-nc 41
後_|_N-nc 41
忘れ_|_V-dp 41
ちょっと_|_F 41
点_|_N-nc 41
なさい_|_V-dp 41
廊下_|_N-nc 41
テーブル_|_N-nc 41
見つめ_|_V-c 40
五_|_N-n 40
じゃ_|_P-k 40
さあ_|_I-c 40
あと_|_N-nc 40
双子_|_N-nc 40
氏_|_Q-n 39
うち_|_N-nc 39
壁_|_N-nc 39
待っ_|_V-c 39
言い_|_V-c 39
使い_|_N-nc 39
ら_|_Q-n 38
夜_|_N-nc 38
とたん_|_N-nc 38
ぐらい_|_P-fj 38
続け_|_V-dp 38
猫_|_N-nc 37
やら_|_P-fj 37
はず_|_N-nc 37
そば_|_N-nc 37
椅子_|_N-nc 37
彼_|_D 36
つけ_|_V-dp 36
窓_|_N-nc 36
いったい_|_F 36
連中_|_N-nc 36
立っ_|_V-c 36
なんか_|_P-fj 36
話_|_N-nc 36
髪_|_N-nc 36
れる_|_X 36
（_|_M-op 36
）_|_M-cp 36
使い_|_V-c 36
きっと_|_F 35
よく_|_F 35
やつ_|_N-nc 35
ハリー_|_N-nc 35
ベッド_|_N-nc 35
落ち_|_V-c 35
わかる_|_V-c 35
しか_|_P-fj 35
らしい_|_X 35
章_|_N-nc 34
現れ_|_V-c 34
体_|_N-nc 34
歩い_|_V-c 34
ペチュニア_|_N-nc 34
わし_|_D 34
高く_|_A-c 34
先_|_N-nc 34
くれる_|_V-dp 34
書い_|_V-c 34
犬_|_N-nc 34
床_|_N-nc 34
られる_|_X 33
しよう_|_V-dp 33
座っ_|_V-c 33
見せ_|_V-dp 33
長い_|_A-c 33
高い_|_A-c 33
みたい_|_J-xs 33
見る_|_V-dp 33
父_|_N-nc 33
呪文_|_N-nc 33
マルフォイ_|_N-nc 33
授業_|_N-nc 33
男の子_|_N-nc 32
首_|_N-nc 32
こんな_|_J-c 32
初めて_|_F 32
道_|_N-nc 32
本_|_Q-n 32
たく_|_X 32
取り出し_|_V-c 32
腕_|_N-nc 32
さ_|_P-sj 32
包み_|_N-nc 32
ヘビ_|_N-nc 32
火_|_N-nc 32
通り_|_N-nc 31
とっ_|_V-c 31
ああ_|_I-c 31
色_|_N-nc 31
ヴォルデモート_|_N-nc 31
足_|_N-nc 31
ママ_|_N-nc 31
驚い_|_V-c 31
笑っ_|_V-c 31
物_|_N-nc 31
者_|_N-nc 31
トロール_|_N-pn 31
番_|_N-nc 30
など_|_P-fj 30
また_|_C 30
耳_|_N-nc 30
最後_|_N-nc 30
力_|_N-nc 30
金_|_N-nc 30
木_|_N-nc 30
見える_|_V-c 30
席_|_N-nc 30
小屋_|_N-nc 30
探し_|_V-c 29
大声_|_N-nc 29
今度_|_N-nc 29
あれ_|_D 29
言葉_|_N-nc 29
老人_|_N-nc 29
覚え_|_V-c 29
入る_|_V-c 29
ポケット_|_N-nc 29
黒い_|_A-c 29
方_|_Q-n 29
よかっ_|_A-dp 29
教え_|_V-c 29
置い_|_V-dp 29
家族_|_N-nc 29
取っ_|_V-c 29
君_|_N-nc 29
よい_|_A-dp 28
あいつ_|_D 28
気づい_|_V-c 28
まるで_|_F 28
身_|_N-nc 28
パーシー_|_N-pn 28
ピーブズ_|_N-nc 28

_|_W 27
フラメル_|_N-nc 27
家_|_Q-n 27
げ_|_Q-j 27
車_|_N-nc 27
階_|_N-nc 27
こう_|_F 27
死ん_|_V-c 27
必要_|_N-nc 27
七_|_N-n 27
店_|_N-nc 27
選手_|_N-nc 27
広間_|_N-nc 27
試験_|_N-nc 27
男_|_N-nc 26
ほとんど_|_N-nc 26
空_|_N-nc 26
地面_|_N-nc 26
せ_|_V-dp 26
来る_|_V-dp 26
しまう_|_V-dp 26
連れ_|_V-c 26
有名_|_J-c 26
もちろん_|_F 26
質問_|_N-nc 26
って_|_X 26
全部_|_N-nc 26
やる_|_V-dp 26
走っ_|_V-c 26
不思議_|_N-nc 25
奥_|_N-nc 25
数_|_N-n 25
いっぱい_|_N-nc 25
指さし_|_V-c 25
とおり_|_N-nc 25
こっち_|_D 25
マダム_|_N-nc 25
母親_|_N-nc 25
世界_|_N-nc 25
ボール_|_N-nc 25
クリスマス_|_N-nc 25
練習_|_N-nc 25
館_|_Q-n 25
違う_|_V-c 25
箱_|_N-nc 25
フレッド_|_N-nc 25
透明_|_J-c 25
なぜ_|_F 24
山_|_N-nc 24
心配_|_N-nc 24
大きく_|_A-c 24
例_|_N-nc 24
隣_|_N-nc 24
絶対_|_N-nc 24
回_|_N-nc 24
静か_|_J-c 24
どんな_|_R 24
早く_|_A-c 24
両親_|_N-nc 24
血_|_N-nc 24
買っ_|_V-c 24
もっと_|_F 24
大丈夫_|_J-c 24
最初_|_N-nc 24
図書_|_N-nc 24
震え_|_V-c 24
ウィーズ_|_N-nc 24
ウィーズ_|_N-pn 24
チーム_|_N-nc 24
穴_|_N-nc 23
バカ_|_N-nc 23
いや_|_I-c 23
闇_|_N-nc 23
まあ_|_F 23
瞬間_|_N-nc 23
目_|_Q-n 23
三十_|_N-n 23
感じ_|_V-c 23
君_|_Q-n 23
かかっ_|_V-dp 23
近づい_|_V-c 23
とる_|_X 23
しばらく_|_F 23
ゴイル_|_N-nc 23
様子_|_N-nc 22
たって_|_P-sj 22
さて_|_C 22
出る_|_V-c 22
振っ_|_V-c 22
ふくろう_|_V-c 22
くらい_|_P-fj 22
つぶやい_|_V-c 22
じゃろう_|_X 22
信じ_|_V-c 22
空中_|_N-nc 22
母_|_N-nc 22
ジョージ_|_N-nc 22
教室_|_N-nc 22
談話_|_N-nc 22
ブラッジャー_|_N-nc 22
チェス_|_N-nc 22
ガラス_|_N-nc 21
ほう_|_N-nc 21
光_|_N-nc 21
じっと_|_F 21
叩い_|_V-c 21
今日_|_N-nc 21
ちょうど_|_F 21
なけれ_|_X 21
額_|_N-nc 21
ささやい_|_V-c 21
地下_|_N-nc 21
悲鳴_|_N-nc 21
乗っ_|_V-c 21
起き_|_V-c 21
物置_|_N-nc 21
暗い_|_A-c 21
全員_|_N-nc 21
悪い_|_A-c 21
思わ_|_V-c 21
以上_|_N-nc 21
ゴッツ_|_N-nc 21
スニッチ_|_N-nc 21
賢者_|_N-nc 20
人間_|_N-nc 20
巨大_|_J-c 20
よく_|_A-dp 20
向け_|_V-c 20
後_|_Q-n 20
べき_|_X 20
今夜_|_N-nc 20
たくさん_|_F 20
近く_|_N-nc 20
ずっと_|_F 20
降り_|_V-c 20
もん_|_N-nc 20
ほんと_|_N-nc 20
帰っ_|_V-c 20
週間_|_N-nc 20
卵_|_N-nc 20
心_|_N-nc 20
ばあ_|_N-nc 20
書_|_Q-n 20
瓶_|_N-nc 20
尋ね_|_V-c 20
魔女_|_N-nc 20
監督_|_N-nc 20
汽車_|_N-nc 20
クラップ_|_N-nc 20
ゴースト_|_N-nc 20
ロナン_|_N-pn 20
The_|_N-pn 19
一家_|_N-nc 19
あたり_|_N-nc 19
用_|_Q-n 19
読ん_|_V-c 19
背_|_N-nc 19
聞き_|_V-c 19
思い_|_V-c 19
離れ_|_V-c 19
命_|_N-nc 19
傷_|_N-nc 19
すれ_|_V-dp 19
夢_|_N-nc 19
横_|_N-nc 19
