._|_SF 15797
었_|_EPT 10990
다_|_EFN 8737
을_|_JKO 7847
ㄴ_|_ETD 7492
‛_|_SW 5815
‚_|_SW 5812
,_|_SP 5106
이_|_JKS 4952
는_|_JX 4939
에_|_JKM 4811
가_|_JKS 4686
고_|_ECE 4632
하_|_XSV 4600
는_|_ETD 4511
를_|_JKO 4294
이_|_VCP 4180
ㄹ_|_ETD 4028
어_|_ECS 3624
의_|_JKG 3474
하_|_VV 3350
해리_|_NNG 3107
것_|_NNB 2603
은_|_JX 2378
들_|_XSN 2321
았_|_EPT 2317
게_|_ECD 2312
있_|_VXV 2233
도_|_JX 2106
지_|_ECD 2043
……_|_SW 2032
그_|_MDT 1948
?_|_SF 1830
말_|_NNG 1824
그_|_NP 1605
로_|_JKM 1503
으로_|_JKM 1478
은_|_ETD 1415
있_|_VV 1367
어_|_ECD 1339
말하_|_VV 1321
아_|_ECS 1258
하_|_XSA 1255
에서_|_JKM 1240
않_|_VXV 1198
!_|_SF 1172
도_|_NNG 1153
블_|_VV 1151
을_|_ETD 1140
덤_|_NNG 1128
수_|_NNB 1086
어서_|_ECD 993
나_|_NP 987
론_|_NNG 974
르_|_NNG 970
기_|_ETN 948
없_|_VA 929
에게_|_JKM 926
사람_|_NNG 907
며_|_ECE 848
되_|_VV 840
거_|_NNB 835
헤_|_MAG 830
더_|_EPT 829
보_|_VV 804
알_|_VV 726
겠_|_EPT 715
한_|_MDN 703
하지만_|_MAC 702
아_|_ECD 683
생각_|_NNG 681
같_|_VA 681
그러_|_VV 673
지만_|_ECE 657
가_|_VV 650
니_|_ECD 648
이_|_MDT 641
위_|_NNG 621
리_|_NNG 597
일_|_NNG 580
교수님_|_NNG 560
어_|_EFN 549
더_|_MAG 547
미온_|_NNG 544
듣_|_VV 533
때_|_NNG 513
다는_|_ETD 505
마법_|_NNG 497
만_|_JX 495
주_|_VXV 487
그렇_|_VA 485
와_|_JKM 480
소리_|_NNG 472
어가_|_NNG 470
지_|_EFN 466
네_|_MDN 464
다시_|_MAG 450
어_|_VV 436
야_|_JX 431
야_|_EFN 427
두_|_MDN 423
혼_|_NNG 423
자_|_ECE 414
시_|_EPH 409
면_|_ECE 405
처럼_|_JKM 398
해_|_NNG 398
우리_|_NP 393
더니_|_ECD 386
안_|_NNG 382
대하_|_VV 378
너_|_NP 373
오_|_VV 372
아서_|_ECD 371
아니_|_VCN 371
그리하_|_VV 366
보이_|_VV 365
자_|_NNG 362
손_|_NNG 361
안_|_MAG 361
그_|_VV 355
과_|_JKM 354
나_|_VV 352
스네이프_|_UN 348
못하_|_VX 345
는지_|_ECS 344
라고_|_JX 343
다_|_ECS 341
면서_|_ECE 340
얼굴_|_NNG 333
